mserp_addressbooknames,mserp_dataarea,mserp_dirpartytablebientityid,mserp_instancerelationtype,mserp_instancerelationtype_bigint,mserp_knownas,mserp_languageid,mserp_name,mserp_namealias,mserp_partynumber,mserp_primaryaddresslocation,mserp_primaryaddresslocation_bigint,mserp_primarycontactemail,mserp_primarycontactemail_bigint,mserp_primarycontactfacebook,mserp_primarycontactfacebook_bigint,mserp_primarycontactfax,mserp_primarycontactfax_bigint,mserp_primarycontactlinkedin,mserp_primarycontactlinkedin_bigint,mserp_primarycontactphone,mserp_primarycontactphone_bigint,mserp_primarycontacttelex,mserp_primarycontacttelex_bigint,mserp_primarycontacttwitter,mserp_primarycontacttwitter_bigint,mserp_primarycontacturl,mserp_primarycontacturl_bigint,mserp_sourcekey,mserp_sourcekey_bigint,versionnumber
,FRRT,00006cdf-0000-0000-fb05-014105000000,9027,9027,,en-us,Contoso Retail FR,Contoso Retail FR,000000031,22565424306,22565424306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565422587,22565422587,NULL
,,00006cdf-0000-0000-fd05-014105000000,13271,13271,,en-us,Jodi Christiansen,Jodi Christiansen,000000032,22565426106,22565426106,22565422578,22565422578,0,0,0,0,0,0,22565422579,22565422579,0,0,0,0,0,0,22565422589,22565422589,NULL
,,00006cdf-0000-0000-fe05-014105000000,13271,13271,,en-us,Ted Howard,Ted Howard,000000033,22565426335,22565426335,22565422616,22565422616,0,0,0,0,0,0,22565422614,22565422614,0,0,0,0,0,0,22565422590,22565422590,NULL
,,00006cdf-0000-0000-ff05-014105000000,13271,13271,,en-us,Charlie Carson,Charlie Carson,000000034,22565426054,22565426054,22565422586,22565422586,0,0,0,0,0,0,22565422587,22565422587,0,0,0,0,0,0,22565422591,22565422591,NULL
,,00006cdf-0000-0000-0006-014105000000,13271,13271,,en-us,Luke Lenhart,Luke Lenhart,000000035,22565426134,22565426134,22565422584,22565422584,0,0,0,0,0,0,22565422585,22565422585,0,0,0,0,0,0,22565422592,22565422592,NULL
,,00006cdf-0000-0000-0106-014105000000,13271,13271,,en-us,Theresa Jayne,Theresa Jayne,000000036,22565426338,22565426338,22565422615,22565422615,0,0,0,0,0,0,22565422617,22565422617,0,0,0,0,0,0,22565422593,22565422593,NULL
,,00006cdf-0000-0000-0206-014105000000,13271,13271,,en-us,Benjamin Martin,Benjamin Martin,000000037,22565426050,22565426050,22565422589,22565422589,0,0,0,0,0,0,22565422588,22565422588,0,0,0,0,0,0,22565422594,22565422594,NULL
,,00006cdf-0000-0000-0306-014105000000,13271,13271,,en-us,Sara Thomas,Sara Thomas,000000038,0,0,22565422592,22565422592,0,0,0,0,0,0,22565422590,22565422590,0,0,0,0,0,0,22565422595,22565422595,NULL
,,00006cdf-0000-0000-0406-014105000000,13271,13271,,en-us,Pierre Hezi,Pierre Hezi,000000039,22565426141,22565426141,22565422593,22565422593,0,0,0,0,0,0,22565422591,22565422591,0,0,0,0,0,0,22565422596,22565422596,NULL
,,00006cdf-0000-0000-0506-014105000000,13271,13271,,en-us,Takashi Andrews,Takashi Andrews,000000040,22565426332,22565426332,22565422595,22565422595,0,0,0,0,0,0,22565422594,22565422594,0,0,0,0,0,0,22565422597,22565422597,NULL
Houston,,00006cdf-0000-0000-0606-014105000000,13271,13271,,en-us,Lars Giusti,Lars Giusti,000000041,22565426129,22565426129,22565422596,22565422596,0,0,0,0,0,0,22565422599,22565422599,0,0,0,0,0,0,22565422598,22565422598,NULL
,,00006cdf-0000-0000-0706-014105000000,13271,13271,,en-us,Inga Numadutir,Inga Numadutir,000000042,22565426103,22565426103,22565422606,22565422606,0,0,0,0,0,0,22565422607,22565422607,0,0,0,0,0,0,22565422599,22565422599,NULL
,,00006cdf-0000-0000-0806-014105000000,13271,13271,,en-us,Mia Vanclooster,Mia Vanclooster,000000043,22565426136,22565426136,22565422603,22565422603,0,0,0,0,0,0,22565422602,22565422602,0,0,0,0,0,0,22565422600,22565422600,NULL
,,00006cdf-0000-0000-0906-014105000000,13271,13271,,en-us,Ellen Gasca,Ellen Gasca,000000044,22565426069,22565426069,22565422604,22565422604,0,0,0,0,0,0,22565422605,22565422605,0,0,0,0,0,0,22565422601,22565422601,NULL
,,00006cdf-0000-0000-0a06-014105000000,13271,13271,,en-us,Arnie Mondloch,Arnie Mondloch,000000045,22565426049,22565426049,22565422609,22565422609,0,0,0,0,0,0,22565422608,22565422608,0,0,0,0,0,0,22565422602,22565422602,NULL
,,00006cdf-0000-0000-0b06-014105000000,13271,13271,,en-us,Terrence Dorsey,Terrence Dorsey,000000046,22565426336,22565426336,22565422610,22565422610,0,0,0,0,0,0,22565422611,22565422611,0,0,0,0,0,0,22565422603,22565422603,NULL
,,00006cdf-0000-0000-0c06-014105000000,13271,13271,,en-us,John Emory,John Emory,000000047,22565426107,22565426107,22565422613,22565422613,0,0,0,0,0,0,22565422612,22565422612,0,0,0,0,0,0,22565422604,22565422604,NULL
,,00006cdf-0000-0000-0d06-014105000000,13271,13271,,en-us,June Low,June Low,000000048,22565426111,22565426111,22565422620,22565422620,0,0,0,0,0,0,22565422619,22565422619,0,0,0,0,0,0,22565422605,22565422605,NULL
,,00006cdf-0000-0000-0e06-014105000000,13271,13271,,en-us,Emil Karafezov,Emil Karafezov,000000049,22565426072,22565426072,22565422633,22565422633,0,0,0,0,0,0,22565422618,22565422618,0,0,0,0,0,0,22565422606,22565422606,NULL
,,00006cdf-0000-0000-0f06-014105000000,13271,13271,,en-us,Julia Funderburk,Julia Funderburk,000000050,22565426109,22565426109,22565422623,22565422623,0,0,0,0,0,0,22565422622,22565422622,0,0,0,0,0,0,22565422607,22565422607,NULL
,,00006cdf-0000-0000-1006-014105000000,13271,13271,,en-us,Shannon Dascher,Shannon Dascher,000000051,22565426328,22565426328,22565422627,22565422627,0,0,0,0,0,0,22565422624,22565422624,0,0,0,0,0,0,22565422608,22565422608,NULL
,,00006cdf-0000-0000-1106-014105000000,13271,13271,,en-us,Reina Cabatana,Reina Cabatana,000000052,22565426314,22565426314,22565422632,22565422632,0,0,0,0,0,0,22565422625,22565422625,0,0,0,0,0,0,22565422609,22565422609,NULL
,,00006cdf-0000-0000-1206-014105000000,13271,13271,,en-us,Tony Krijnen,Tony Krijnen,000000053,22565426341,22565426341,22565422630,22565422630,0,0,0,0,0,0,22565422628,22565422628,0,0,0,0,0,0,22565422610,22565422610,NULL
,,00006cdf-0000-0000-1306-014105000000,13271,13271,,en-us,Ahmed Barnett,Ahmed Barnett,000000054,22565426046,22565426046,22565422631,22565422631,0,0,0,0,0,0,22565422629,22565422629,0,0,0,0,0,0,22565422611,22565422611,NULL
,,00006cdf-0000-0000-1406-014105000000,13271,13271,,en-us,Vince Prado,Vince Prado,000000055,22565426427,22565426427,22565422637,22565422637,0,0,0,0,0,0,22565422636,22565422636,0,0,0,0,0,0,22565422612,22565422612,NULL
,,00006cdf-0000-0000-1506-014105000000,13271,13271,,en-us,Tricia Fejfar,Tricia Fejfar,000000056,22565426423,22565426423,22565422635,22565422635,0,0,0,0,0,0,22565422634,22565422634,0,0,0,0,0,0,22565422613,22565422613,NULL
USRTCentrl,,00006cdf-0000-0000-1606-014105000000,13271,13271,,en-us,Claire Kennedy,Claire Kennedy,000000057,22565426055,22565426055,22565422641,22565422641,0,0,0,0,0,0,22565422639,22565422639,0,0,0,0,0,0,22565422614,22565422614,NULL
,,00006cdf-0000-0000-1706-014105000000,13271,13271,,en-us,Tim Litton,Tim Litton,000000058,22565426340,22565426340,22565422640,22565422640,0,0,0,0,0,0,22565422638,22565422638,0,0,0,0,0,0,22565422615,22565422615,NULL
,,00006cdf-0000-0000-1806-014105000000,13271,13271,,en-us,Alicia Thornber,Alicia Thornber,000000059,22565426047,22565426047,22565422643,22565422643,0,0,0,0,0,0,22565422642,22565422642,0,0,0,0,0,0,22565422616,22565422616,NULL
,,00006cdf-0000-0000-1906-014105000000,13271,13271,,en-us,Sammy Isales,Sammy Isales,000000060,22565426319,22565426319,22565422645,22565422645,0,0,0,0,0,0,22565422644,22565422644,0,0,0,0,0,0,22565422617,22565422617,NULL
,,00006cdf-0000-0000-1a06-014105000000,13271,13271,,en-us,Prakash Kovvuru,Prakash Kovvuru,000000061,22565426142,22565426142,22565422647,22565422647,0,0,0,0,0,0,22565422646,22565422646,0,0,0,0,0,0,22565422618,22565422618,NULL
,,00006cdf-0000-0000-1b06-014105000000,13271,13271,,en-us,Phyllis Harris,Phyllis Harris,000000062,22565426140,22565426140,22565422649,22565422649,0,0,0,0,0,0,22565422648,22565422648,0,0,0,0,0,0,22565422619,22565422619,NULL
,,00006cdf-0000-0000-1c06-014105000000,13271,13271,,en-us,Grace Sturman,Grace Sturman,000000063,22565426100,22565426100,22565422653,22565422653,0,0,0,0,0,0,22565422652,22565422652,0,0,0,0,0,0,22565422620,22565422620,NULL
,,00006cdf-0000-0000-1d06-014105000000,13271,13271,,en-us,Kevin Cook,Kevin Cook,000000064,22565426125,22565426125,22565422651,22565422651,0,0,0,0,0,0,22565422650,22565422650,0,0,0,0,0,0,22565422621,22565422621,NULL
,,00006cdf-0000-0000-1e06-014105000000,13271,13271,,en-us,Zainal Arifin,Zainal Arifin,000000065,22565426558,22565426558,22565422654,22565422654,0,0,0,0,0,0,22565422657,22565422657,0,0,0,0,0,0,22565422622,22565422622,NULL
,,00006cdf-0000-0000-1f06-014105000000,13271,13271,,en-us,David Ahs,David Ahs,000000066,22565426060,22565426060,22565422656,22565422656,0,0,0,0,0,0,22565422655,22565422655,0,0,0,0,0,0,22565422623,22565422623,NULL
,,00006cdf-0000-0000-2006-014105000000,13271,13271,,en-us,Eduardo Melo,Eduardo Melo,000000067,22565426068,22565426068,22565422659,22565422659,0,0,0,0,0,0,22565422658,22565422658,0,0,0,0,0,0,22565422624,22565422624,NULL
,,00006cdf-0000-0000-2106-014105000000,13271,13271,,en-us,Connie Vrettos,Connie Vrettos,000000068,22565426056,22565426056,22565422662,22565422662,0,0,0,0,0,0,22565422660,22565422660,0,0,0,0,0,0,22565422625,22565422625,NULL
,,00006cdf-0000-0000-2206-014105000000,13271,13271,,en-us,Susan Burk,Susan Burk,000000069,22565426331,22565426331,22565422664,22565422664,0,0,0,0,0,0,22565422663,22565422663,0,0,0,0,0,0,22565422626,22565422626,NULL
,,00006cdf-0000-0000-2306-014105000000,13271,13271,,en-us,Lisa Toftemark,Lisa Toftemark,000000070,22565426132,22565426132,22565422666,22565422666,0,0,0,0,0,0,22565422665,22565422665,0,0,0,0,0,0,22565422627,22565422627,NULL
,,00006cdf-0000-0000-2406-014105000000,13271,13271,,en-us,Daniel Brunner,Daniel Brunner,000000071,22565426057,22565426057,22565422671,22565422671,0,0,0,0,0,0,22565422667,22565422667,0,0,0,0,0,0,22565422628,22565422628,NULL
,,00006cdf-0000-0000-2506-014105000000,13271,13271,,en-us,Cassie Hicks,Cassie Hicks,000000072,22565426053,22565426053,22565422670,22565422670,0,0,0,0,0,0,22565422669,22565422669,0,0,0,0,0,0,22565422629,22565422629,NULL
,,00006cdf-0000-0000-2606-014105000000,13271,13271,,en-us,Karl Bystrom,Karl Bystrom,000000073,22565426115,22565426115,22565422673,22565422673,0,0,0,0,0,0,22565422672,22565422672,0,0,0,0,0,0,22565422630,22565422630,NULL
,,00006cdf-0000-0000-2706-014105000000,13271,13271,,en-us,Ken Ewert,Ken Ewert,000000074,22565426123,22565426123,22565422677,22565422677,0,0,0,0,0,0,22565422674,22565422674,0,0,0,0,0,0,22565422631,22565422631,NULL
,,00006cdf-0000-0000-2806-014105000000,13271,13271,,en-us,April Stewart,April Stewart,000000075,22565426048,22565426048,22565422676,22565422676,0,0,0,0,0,0,22565422675,22565422675,0,0,0,0,0,0,22565422632,22565422632,NULL
,,00006cdf-0000-0000-2906-014105000000,13271,13271,,en-us,Brad Sutton,Brad Sutton,000000076,22565426051,22565426051,22565422679,22565422679,0,0,0,0,0,0,22565422678,22565422678,0,0,0,0,0,0,22565422633,22565422633,NULL
,,00006cdf-0000-0000-2a06-014105000000,13271,13271,,en-us,Brooke Drynan,Brooke Drynan,000000077,22565426052,22565426052,22565422681,22565422681,0,0,0,0,0,0,22565422680,22565422680,0,0,0,0,0,0,22565422634,22565422634,NULL
,,00006cdf-0000-0000-2b06-014105000000,13271,13271,,en-us,Rebecca Deutsch,Rebecca Deutsch,000000078,22565426312,22565426312,22565422683,22565422683,0,0,0,0,0,0,22565422682,22565422682,0,0,0,0,0,0,22565422635,22565422635,NULL
,,00006cdf-0000-0000-2c06-014105000000,13271,13271,,en-us,Marie Talley,Marie Talley,000000079,22565426135,22565426135,22565422685,22565422685,0,0,0,0,0,0,22565422684,22565422684,0,0,0,0,0,0,22565422636,22565422636,NULL
,,00006cdf-0000-0000-2d06-014105000000,13271,13271,,en-us,Ricardo Acosta,Ricardo Acosta,000000080,22565426318,22565426318,22565422687,22565422687,0,0,0,0,0,0,22565422686,22565422686,0,0,0,0,0,0,22565422637,22565422637,NULL
,,00006cdf-0000-0000-2e06-014105000000,13271,13271,,en-us,Michael Redmond,Michael Redmond,000000081,22565426137,22565426137,22565422689,22565422689,0,0,0,0,0,0,22565422688,22565422688,0,0,0,0,0,0,22565422638,22565422638,NULL
,,00006cdf-0000-0000-2f06-014105000000,13271,13271,,en-us,Jacob Robinson,Jacob Robinson,000000082,22565426104,22565426104,22565422691,22565422691,0,0,0,0,0,0,22565422690,22565422690,0,0,0,0,0,0,22565422639,22565422639,NULL
,,00006cdf-0000-0000-3006-014105000000,13271,13271,,en-us,Nicole Holliday,Nicole Holliday,000000083,22565426138,22565426138,22565422693,22565422693,0,0,0,0,0,0,22565422692,22565422692,0,0,0,0,0,0,22565422640,22565422640,NULL
,,00006cdf-0000-0000-3106-014105000000,13271,13271,,en-us,Oscar Morales,Oscar Morales,000000084,22565426139,22565426139,22565422695,22565422695,0,0,0,0,0,0,22565422694,22565422694,0,0,0,0,0,0,22565422641,22565422641,NULL
,,00006cdf-0000-0000-ea06-014105000000,13271,13271,,en-us,Andrew Ma,Andrew Ma,000000085,22565426304,22565426304,22565422829,22565422829,0,0,0,0,0,0,22565422828,22565422828,0,0,0,0,0,0,22565422826,22565422826,NULL
,,00006cdf-0000-0000-eb06-014105000000,13271,13271,,en-us,Anders Madsen,Anders Madsen,000000086,22565426300,22565426300,22565422833,22565422833,0,0,0,0,0,0,22565422832,22565422832,0,0,0,0,0,0,22565422827,22565422827,NULL
,,00006cdf-0000-0000-ec06-014105000000,13271,13271,,en-us,Tude Palma,Tude Palma,000000087,22565426543,22565426543,22565422835,22565422835,0,0,0,0,0,0,22565422834,22565422834,0,0,0,0,0,0,22565422828,22565422828,NULL
,,00006cdf-0000-0000-ed06-014105000000,13271,13271,,en-us,Todd Meadows,Todd Meadows,000000088,22565426540,22565426540,22565422837,22565422837,0,0,0,0,0,0,22565422836,22565422836,0,0,0,0,0,0,22565422829,22565422829,NULL
,,00006cdf-0000-0000-ee06-014105000000,13271,13271,,en-us,Joel Lachance,Joel Lachance,000000089,22565426450,22565426450,22565422839,22565422839,0,0,0,0,0,0,22565422838,22565422838,0,0,0,0,0,0,22565422830,22565422830,NULL
Houston,,00006cdf-0000-0000-ef06-014105000000,13271,13271,,en-us,Jae Pak,Jae Pak,000000090,22565426442,22565426442,22565422841,22565422841,0,0,0,0,0,0,22565422840,22565422840,0,0,0,0,0,0,22565422831,22565422831,NULL
,,00006cdf-0000-0000-f006-014105000000,13271,13271,,en-us,Tjeerd Veninga,Tjeerd Veninga,000000091,22565426538,22565426538,22565422843,22565422843,0,0,0,0,0,0,22565422842,22565422842,0,0,0,0,0,0,22565422832,22565422832,NULL
,,00006cdf-0000-0000-f106-014105000000,13271,13271,,en-us,Preeda Ola,Preeda Ola,000000092,22565426506,22565426506,22565422845,22565422845,0,0,0,0,0,0,22565422844,22565422844,0,0,0,0,0,0,22565422833,22565422833,NULL
,,00006cdf-0000-0000-f206-014105000000,13271,13271,,en-us,Aneta Olecka,Aneta Olecka,000000093,22565426305,22565426305,22565422847,22565422847,0,0,0,0,0,0,22565422846,22565422846,0,0,0,0,0,0,22565422834,22565422834,NULL
,,00006cdf-0000-0000-f306-014105000000,13271,13271,,en-us,Sagiv Hadaya,Sagiv Hadaya,000000094,22565426520,22565426520,22565422849,22565422849,0,0,0,0,0,0,22565422848,22565422848,0,0,0,0,0,0,22565422835,22565422835,NULL
,,00006cdf-0000-0000-f406-014105000000,13271,13271,,en-us,Pernille Halberg,Pernille Halberg,000000095,22565426502,22565426502,22565422851,22565422851,0,0,0,0,0,0,22565422850,22565422850,0,0,0,0,0,0,22565422836,22565422836,NULL
,,00006cdf-0000-0000-f506-014105000000,13271,13271,,en-us,Sara Davis,Sara Davis,000000096,22565426524,22565426524,22565422855,22565422855,0,0,0,0,0,0,22565422853,22565422853,0,0,0,0,0,0,22565422837,22565422837,NULL
,,00006cdf-0000-0000-f606-014105000000,13271,13271,,en-us,Soha Kamal,Soha Kamal,000000097,22565426529,22565426529,22565422854,22565422854,0,0,0,0,0,0,22565422852,22565422852,0,0,0,0,0,0,22565422838,22565422838,NULL
,,00006cdf-0000-0000-f706-014105000000,13271,13271,,en-us,John Kane,John Kane,000000098,22565426452,22565426452,22565422857,22565422857,0,0,0,0,0,0,22565422856,22565422856,0,0,0,0,0,0,22565422839,22565422839,NULL
Houston,,00006cdf-0000-0000-f806-014105000000,13271,13271,,en-us,Gerwald Oberleitner,Gerwald Oberleitner,000000099,22565426411,22565426411,22565422859,22565422859,0,0,0,0,0,0,22565422861,22565422861,0,0,0,0,0,0,22565422840,22565422840,NULL
Houston,,00006cdf-0000-0000-f906-014105000000,13271,13271,,en-us,Wendy Kahn,Wendy Kahn,000000100,22565426088,22565426088,22565422860,22565422860,0,0,0,0,0,0,22565422858,22565422858,0,0,0,0,0,0,22565422841,22565422841,NULL
Houston,,00006cdf-0000-0000-fa06-014105000000,13271,13271,,en-us,Sandeep Kaliyath,Sandeep Kaliyath,000000101,22565426522,22565426522,22565422863,22565422863,0,0,0,0,0,0,22565422862,22565422862,0,0,0,0,0,0,22565422842,22565422842,NULL
,,00006cdf-0000-0000-fb06-014105000000,13271,13271,,en-us,April Meyer,April Meyer,000000102,22565426308,22565426308,22565422865,22565422865,0,0,0,0,0,0,22565422864,22565422864,0,0,0,0,0,0,22565422843,22565422843,NULL
,,00006cdf-0000-0000-fc06-014105000000,13271,13271,,en-us,John Evans,John Evans,000000103,22565426451,22565426451,22565422867,22565422867,0,0,0,0,0,0,22565422866,22565422866,0,0,0,0,0,0,22565422844,22565422844,NULL
Seattle,,00006cdf-0000-0000-fd06-014105000000,13271,13271,,en-us,Jeremy Los,Jeremy Los,000000104,22565426445,22565426445,22565422869,22565422869,0,0,0,0,0,0,22565422868,22565422868,0,0,0,0,0,0,22565422845,22565422845,NULL
,,00006cdf-0000-0000-fe06-014105000000,13271,13271,,en-us,Chris Bryant,Chris Bryant,000000105,22565426324,22565426324,22565422871,22565422871,0,0,0,0,0,0,22565422870,22565422870,0,0,0,0,0,0,22565422846,22565422846,NULL
Houston,,00006cdf-0000-0000-ff06-014105000000,13271,13271,,en-us,Cesar Garcia,Cesar Garcia,000000106,22565426322,22565426322,22565422873,22565422873,0,0,0,0,0,0,22565422872,22565422872,0,0,0,0,0,0,22565422847,22565422847,NULL
,,00006cdf-0000-0000-0007-014105000000,13271,13271,,en-us,Viara Kalnakova,Viara Kalnakova,000000107,22565426548,22565426548,22565422875,22565422875,0,0,0,0,0,0,22565422874,22565422874,0,0,0,0,0,0,22565422848,22565422848,NULL
,,00006cdf-0000-0000-0107-014105000000,13271,13271,,en-us,Arnie Campbell,Arnie Campbell,000000108,22565426310,22565426310,22565422878,22565422878,0,0,0,0,0,0,22565422876,22565422876,0,0,0,0,0,0,22565422849,22565422849,NULL
,,00006cdf-0000-0000-0207-014105000000,13271,13271,,en-us,Gisli Olafsson,Gisli Olafsson,000000109,22565426414,22565426414,22565422879,22565422879,0,0,0,0,0,0,22565422877,22565422877,0,0,0,0,0,0,22565422850,22565422850,NULL
,,00006cdf-0000-0000-0307-014105000000,13271,13271,,en-us,Reto Käch,Reto Käch,000000110,22565426513,22565426513,22565422883,22565422883,0,0,0,0,0,0,22565422882,22565422882,0,0,0,0,0,0,22565422851,22565422851,NULL
Houston,,00006cdf-0000-0000-0407-014105000000,13271,13271,,en-us,Euan Garden,Euan Garden,000000111,22565426406,22565426406,22565422881,22565422881,0,0,0,0,0,0,22565422880,22565422880,0,0,0,0,0,0,22565422852,22565422852,NULL
,,00006cdf-0000-0000-0507-014105000000,13271,13271,,en-us,Peter Saddow,Peter Saddow,000000112,22565426503,22565426503,22565422886,22565422886,0,0,0,0,0,0,22565422884,22565422884,0,0,0,0,0,0,22565422853,22565422853,NULL
,,00006cdf-0000-0000-0607-014105000000,13271,13271,,en-us,Ryan Ihrig,Ryan Ihrig,000000113,22565426519,22565426519,22565422887,22565422887,0,0,0,0,0,0,22565422885,22565422885,0,0,0,0,0,0,22565422854,22565422854,NULL
,,00006cdf-0000-0000-0707-014105000000,13271,13271,,en-us,Maurizio Macagno,Maurizio Macagno,000000114,22565426482,22565426482,22565422889,22565422889,0,0,0,0,0,0,22565422888,22565422888,0,0,0,0,0,0,22565422855,22565422855,NULL
,,00006cdf-0000-0000-0807-014105000000,13271,13271,,en-us,Debra Garcia,Debra Garcia,000000115,22565426386,22565426386,22565422891,22565422891,0,0,0,0,0,0,22565422890,22565422890,0,0,0,0,0,0,22565422856,22565422856,NULL
Houston,,00006cdf-0000-0000-0907-014105000000,13271,13271,,en-us,Maureen Magnotta,Maureen Magnotta,000000116,22565426481,22565426481,22565422904,22565422904,0,0,0,0,0,0,22565422894,22565422894,0,0,0,0,0,0,22565422857,22565422857,NULL
,,00006cdf-0000-0000-0a07-014105000000,13271,13271,,en-us,Benjamin Danner,Benjamin Danner,000000117,22565426313,22565426313,22565422893,22565422893,0,0,0,0,0,0,22565422892,22565422892,0,0,0,0,0,0,22565422858,22565422858,NULL
,,00006cdf-0000-0000-0b07-014105000000,13271,13271,,en-us,Vince Saylor,Vince Saylor,000000118,22565426552,22565426552,22565422898,22565422898,0,0,0,0,0,0,22565422896,22565422896,0,0,0,0,0,0,22565422859,22565422859,NULL
,,00006cdf-0000-0000-0c07-014105000000,13271,13271,,en-us,Michael Raheem,Michael Raheem,000000119,22565426488,22565426488,22565422899,22565422899,0,0,0,0,0,0,22565422897,22565422897,0,0,0,0,0,0,22565422860,22565422860,NULL
RetailCust,,00006cdf-0000-0000-0d07-014105000000,13271,13271,,en-us,Stuart Railson,Stuart Railson,000000120,22565426533,22565426533,22565422901,22565422901,0,0,0,0,0,0,22565422900,22565422900,0,0,0,0,0,0,22565422861,22565422861,NULL
,,00006cdf-0000-0000-0e07-014105000000,13271,13271,,en-us,Minesh Lad,Minesh Lad,000000121,22565426494,22565426494,22565422903,22565422903,0,0,0,0,0,0,22565422902,22565422902,0,0,0,0,0,0,22565422862,22565422862,NULL
,,00006cdf-0000-0000-0f07-014105000000,13271,13271,,en-us,Lucio Iallo,Lucio Iallo,000000122,22565426471,22565426471,22565422914,22565422914,0,0,0,0,0,0,22565422913,22565422913,0,0,0,0,0,0,22565422863,22565422863,NULL
,,00006cdf-0000-0000-1007-014105000000,13271,13271,,en-us,Connie Vasa,Connie Vasa,000000123,22565426327,22565426327,22565422906,22565422906,0,0,0,0,0,0,22565422905,22565422905,0,0,0,0,0,0,22565422864,22565422864,NULL
,,00006cdf-0000-0000-1107-014105000000,13271,13271,,en-us,Marc Boyer,Marc Boyer,000000124,22565426479,22565426479,22565422910,22565422910,0,0,0,0,0,0,22565422909,22565422909,0,0,0,0,0,0,22565422865,22565422865,NULL
